frame_id,point_id,x_mm,y_mm,u_mm,v_mm,exx,eyy,gxy,quality,valid,area_mm2
0,0,0.0,0.0,0,0,0.01,0.004,0.003,1,1,25
0,1,5.0,0.0,0,0,0.011,0.0045000000000000005,0.0035,1,1,25
0,2,10.0,0.0,0,0,0.012,0.005,0.004,1,1,25
0,3,15.0,0.0,0,0,0.013000000000000001,0.0055,0.0045000000000000005,1,1,25
0,4,20.0,0.0,0,0,0.014,0.006,0.005,1,1,25
0,5,0.0,5.0,0,0,0.0105,0.005,0.0035,1,1,25
0,6,5.0,5.0,0,0,0.0115,0.0055000000000000005,0.004,1,1,25
0,7,10.0,5.0,0,0,0.0125,0.006,0.0045000000000000005,1,1,25
0,8,15.0,5.0,0,0,0.013500000000000002,0.0065,0.005,1,1,25
0,9,20.0,5.0,0,0,0.0145,0.007,0.0055,1,1,25
0,10,0.0,10.0,0,0,0.011,0.006,0.004,1,1,25
0,11,5.0,10.0,0,0,0.012,0.006500000000000001,0.0045000000000000005,1,1,25
0,12,10.0,10.0,0,0,0.013000000000000001,0.007,0.005,1,1,25
0,13,15.0,10.0,0,0,0.014000000000000002,0.0075,0.0055,1,1,25
0,14,20.0,10.0,0,0,0.015,0.008,0.006,1,1,25
0,15,0.0,15.0,0,0,0.0115,0.007,0.0045000000000000005,1,1,25
0,16,5.0,15.0,0,0,0.012499999999999999,0.007500000000000001,0.005,1,1,25
0,17,10.0,15.0,0,0,0.0135,0.008,0.0055,1,1,25
0,18,15.0,15.0,0,0,0.0145,0.0085,0.006,1,1,25
0,19,20.0,15.0,0,0,0.0155,0.009000000000000001,0.006500000000000001,1,1,25
0,20,0.0,20.0,0,0,0.012,0.008,0.005,1,1,25
0,21,5.0,20.0,0,0,0.013,0.0085,0.0055,1,1,25
0,22,10.0,20.0,0,0,0.014,0.009000000000000001,0.006,1,1,25
0,23,15.0,20.0,0,0,0.015000000000000001,0.0095,0.006500000000000001,1,1,25
0,24,20.0,20.0,0,0,0.016,0.01,0.007,1,1,25
