frame_id,virtual_field_id,fx_N,fy_N,loaded_ux_star,loaded_uy_star,sync_status
0,0,-752.900310615229,0,1,0,synthetic
0,1,-134.95094223290738,0,1,0,synthetic
0,2,-757.6348314313572,0,1,0,synthetic
0,3,-158.74479514208264,0,1,0,synthetic
0,4,603.1166399228895,0,1,0,synthetic
0,5,339.3703131245197,0,1,0,synthetic
0,6,120.71988181165005,0,1,0,synthetic
0,7,1091.427896252278,0,1,0,synthetic
0,8,-3076.1294804855124,0,1,0,synthetic
0,9,-1450.3691038882557,0,1,0,synthetic
0,10,-1777.6652167422662,0,1,0,synthetic
0,11,-1440.535179295028,0,1,0,synthetic
